Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-11-05,3080.8,3083.95,3072.15,3074.62,585634570
2019-11-06,3075.1,3078.34,3065.89,3076.78,544288522
2019-11-07,3087.02,3097.77,3080.23,3085.18,566117910
2019-11-08,3081.25,3093.09,3073.58,3093.08,460757054
2019-11-11,3080.33,3088.33,3075.82,3087.01,366044400
2019-11-12,3089.28,3102.61,3084.73,3091.84,434953689
2019-11-13,3084.18,3098.06,3078.8,3094.04,454607412
2019-11-14,3090.75,3098.2,3083.26,3096.63,408390424
2019-11-15,3107.92,3120.46,3104.6,3120.46,579104868
2019-11-18,3117.91,3124.17,3112.06,3122.03,521730492
2019-11-19,3127.45,3127.64,3113.47,3120.18,513153035
2019-11-20,3114.66,3118.97,3091.41,3108.46,756408988
2019-11-21,3108.49,3110.11,3094.55,3103.54,476836171
2019-11-22,3111.41,3112.87,3099.26,3110.29,418027927
2019-11-25,3117.44,3133.83,3117.44,3133.64,513728761
2019-11-26,3134.85,3142.69,3131,3140.52,986041660
2019-11-27,3145.49,3154.26,3143.41,3153.63,421853938
2019-11-29,3147.18,3150.3,3139.34,3140.98,286602291
2019-12-02,3143.85,3144.31,3110.78,3113.87,497591273
2019-12-03,3087.41,3094.97,3070.33,3093.2,557374678
2019-12-04,3103.5,3119.38,3102.53,3112.76,528372221
2019-12-05,3119.21,3119.45,3103.76,3117.43,462499605
2019-12-06,3134.62,3150.6,3134.62,3145.91,489116706
2019-12-09,3141.86,3148.87,3135.46,3135.96,468488007
2019-12-10,3135.36,3142.12,3126.09,3132.52,460145225
2019-12-11,3135.75,3143.98,3133.21,3141.63,472523605
2019-12-12,3141.23,3176.28,3138.47,3168.57,575875664
2019-12-13,3166.65,3182.68,3156.51,3168.8,505261345
2019-12-16,3183.63,3197.71,3183.63,3191.45,640194352
2019-12-17,3195.4,3198.22,3191.03,3192.52,568033435
2019-12-18,3195.21,3198.48,3191.14,3191.14,598958742
2019-12-19,3192.32,3205.48,3192.32,3205.37,592606963
2019-12-20,3223.33,3225.65,3216.03,3221.22,1760995206
2019-12-23,3226.05,3227.78,3222.3,3224.01,467684564
2019-12-24,3225.45,3226.43,3220.51,3223.38,170793796
2019-12-26,3227.2,3240.08,3227.2,3239.91,316662796
2019-12-27,3247.23,3247.93,3234.37,3240.02,335876636
